날짜,클릭수,노출,CTR,게재 순위
2026-05-15,1,6,16.67%,2.3
2026-05-16,0,9,0%,11.8
2026-05-17,0,26,0%,13.1
2026-05-18,1,19,5.26%,18.2
2026-05-19,2,31,6.45%,28.5
2026-05-20,2,29,6.9%,24.8
2026-05-21,1,40,2.5%,19.3
2026-05-22,1,29,3.45%,18.1
2026-05-23,16,36,44.44%,11.1
2026-05-24,7,24,29.17%,18.1
2026-05-25,9,37,24.32%,14.9
2026-05-26,6,39,15.38%,16.1
2026-05-27,13,49,26.53%,20.4
2026-05-28,7,41,17.07%,8.3
2026-05-29,8,34,23.53%,16.4
2026-05-30,5,22,22.73%,10.5
2026-05-31,8,28,28.57%,13.4
2026-06-01,6,31,19.35%,15.7
2026-06-02,1,22,4.55%,34.5
2026-06-03,4,31,12.9%,19.8
2026-06-04,1,32,3.12%,40.5
2026-06-05,7,22,31.82%,18.8
2026-06-06,3,15,20%,23
2026-06-07,12,23,52.17%,10.4
2026-06-08,7,22,31.82%,9.8
2026-06-09,6,20,30%,11.4
2026-06-10,12,31,38.71%,3.1
2026-06-11,1,13,7.69%,15.1
2026-06-12,7,26,26.92%,3.2
2026-06-13,3,11,27.27%,11.3
2026-06-14,9,19,47.37%,10.7
2026-06-15,13,54,24.07%,6.3
2026-06-16,11,27,40.74%,16.1
2026-06-17,8,37,21.62%,8.1
2026-06-18,8,24,33.33%,4.4
2026-06-19,7,24,29.17%,11.8
2026-06-20,1,18,5.56%,9.9
2026-06-21,9,21,42.86%,6.1
2026-06-22,10,41,24.39%,4.6
2026-06-23,4,24,16.67%,9.2
2026-06-24,8,54,14.81%,4.3
2026-06-25,5,26,19.23%,5.1
2026-06-26,9,35,25.71%,5.4
2026-06-27,2,31,6.45%,8.1
2026-06-28,4,15,26.67%,9.5
2026-06-29,6,33,18.18%,3.6
2026-06-30,7,39,17.95%,11.7
2026-07-01,5,42,11.9%,9.3
2026-07-02,5,45,11.11%,3.6
2026-07-03,2,43,4.65%,4.2
2026-07-04,4,35,11.43%,2.8
2026-07-05,10,49,20.41%,6.9
2026-07-06,6,63,9.52%,5.3
2026-07-07,12,44,27.27%,6.5
2026-07-08,8,47,17.02%,4.2
2026-07-09,7,47,14.89%,7
2026-07-10,7,34,20.59%,13.7
2026-07-11,6,49,12.24%,8
2026-07-12,4,57,7.02%,8.7
2026-07-13,8,73,10.96%,8.1
2026-07-14,6,82,7.32%,11.4
2026-07-15,3,51,5.88%,10.5
2026-07-16,8,59,13.56%,6.2
2026-07-17,7,46,15.22%,9.8
2026-07-18,8,38,21.05%,9.6
2026-07-19,2,62,3.23%,7.4
2026-07-20,8,49,16.33%,8.7
2026-07-21,10,64,15.62%,11.2
2026-07-22,10,59,16.95%,7.4
2026-07-23,5,73,6.85%,10.8
2026-07-24,5,70,7.14%,10
2026-07-25,5,66,7.58%,5
2026-07-26,11,73,15.07%,6.5
2026-07-27,10,85,11.76%,7.6
2026-07-28,11,71,15.49%,10.1
2026-07-29,15,82,18.29%,14.1
2026-07-30,22,91,24.18%,5
2026-07-31,10,74,13.51%,12.3
2026-08-01,7,75,9.33%,11.1
2026-08-02,7,81,8.64%,6.6
2026-08-03,18,118,15.25%,14.8
2026-08-04,6,81,7.41%,6.1
2026-08-05,15,98,15.31%,8.8
2026-08-06,3,77,3.9%,2.6
2026-08-07,6,85,7.06%,5.1
2026-08-08,4,117,3.42%,2.7
2026-08-09,12,167,7.19%,5.7
2026-08-10,11,227,4.85%,3.2
2026-08-11,9,130,6.92%,7.3
2026-08-12,14,118,11.86%,8.3
2026-08-13,19,145,13.1%,7.4
2026-08-14,11,126,8.73%,9.3
