국가,클릭수,노출,CTR,게재 순위
한국,651,3197,20.36%,11.55
미국,4,1208,0.33%,3.38
일본,1,23,4.35%,9.78
독일,1,22,4.55%,3.82
프랑스,1,12,8.33%,3.42
멕시코,1,8,12.5%,11.25
대만,1,3,33.33%,1.33
홍콩,0,65,0%,4.2
아랍에미리트 연합,0,38,0%,3.47
영국,0,34,0%,5.94
캐나다,0,21,0%,8.62
네덜란드,0,17,0%,5.53
인도,0,13,0%,10.54
호주,0,10,0%,17.3
중국,0,8,0%,5
베트남,0,8,0%,18.12
브라질,0,7,0%,2.14
이탈리아,0,6,0%,2.17
스페인,0,6,0%,6.17
벨기에,0,5,0%,3.6
필리핀,0,5,0%,12.2
인도네시아,0,5,0%,49.8
콜롬비아,0,4,0%,3.25
러시아,0,4,0%,10.25
포르투갈,0,3,0%,2
싱가포르,0,3,0%,3.33
아르헨티나,0,3,0%,3.67
그리스,0,3,0%,4.33
에콰도르,0,3,0%,5.67
칠레,0,3,0%,7
파키스탄,0,2,0%,1
오만,0,2,0%,1.5
폴란드,0,2,0%,2
태국,0,2,0%,2
스위스,0,2,0%,3
말레이시아,0,2,0%,3.5
우루과이,0,2,0%,5
사우디 아라비아,0,2,0%,9.5
터키,0,2,0%,15.5
이집트,0,1,0%,1
자메이카,0,1,0%,1
시리아,0,1,0%,1
체코,0,1,0%,2
도미니카 공화국,0,1,0%,2
온두라스,0,1,0%,2
아일랜드,0,1,0%,2
리투아니아,0,1,0%,2
파나마,0,1,0%,2
파라과이,0,1,0%,2
카타르,0,1,0%,2
튀니지,0,1,0%,3
불가리아,0,1,0%,4
볼리비아,0,1,0%,4
우크라이나,0,1,0%,5
오스트리아,0,1,0%,8
핀란드,0,1,0%,9
아이슬란드,0,1,0%,9
방글라데시,0,1,0%,10
아이티,0,1,0%,10
노르웨이,0,1,0%,11
루마니아,0,1,0%,11
모로코,0,1,0%,49
