# ----------------------------------------
# 모든 사용자
# 세션 소스/매체
# 20260816-20260912
# ----------------------------------------
세션 소스/매체,세션,참여 세션수,참여율
naver / organic,600,420,0.7
(direct) / (none),200,110,0.55
m.search.naver.com / referral,100,70,0.7
google / organic,40,30,0.75
samsung.net / referral,20,15,0.75
dcinside.com / referral,15,9,0.6
bing / organic,10,7,0.7
blog.naver.com / referral,5,3,0.6
chatgpt.com / referral,5,4,0.8
daum / organic,5,3,0.6
합계,1000,671,0.671

# ----------------------------------------
# 일자별
# ----------------------------------------
N일차,날짜,세션
0,20260816,40
1,20260817,35
